"Ath.#","Perf.#","Time","Athlete","Nation","Date","Place","Ref."
1,1,"3:26.00","Hicham El Guerrouj","Morocco","14 July 1998","Rome",""
NA,2,"3:26.12","El Guerrouj #2","","24 August 2001","Brussels",""
2,3,"3:26.34","Bernard Lagat","Kenya","24 August 2001","Brussels",""
NA,4,"3:26.45","El Guerrouj #3","","12 August 1998","Zürich",""
3,5,"3:26.69","Asbel Kiprop","Kenya","17 July 2015","Monaco","[11]"
4,6,"3:26.73","Jakob Ingebrigtsen","Norway","12 July 2024","Monaco","[12]"
NA,7,"3:26.89","El Guerrouj #4","","16 August 2002","Zürich",""
NA,8,"3:26.96","El Guerrouj #5","","8 September 2002","Rieti",""
NA,9,"3:27.14","Ingebrigtsen #2","","16 July 2023","Chorzów","[13]"
NA,10,"3:27.21","El Guerrouj #6","","11 August 2000","Zürich",""
NA,11,"3:27.34","El Guerrouj #7","","19 July 2002","Monaco",""
5,12,"3:27.37","Noureddine Morceli","Algeria","12 July 1995","Nice",""
NA,13,"3:27.40","Lagat #2","","6 August 2004","Zürich",""
NA,14,"3:27.52","Morceli #2","","25 July 1995","Monaco",""
NA,15,"3:27.64","El Guerrouj #8","","6 August 2004","Zürich",""
6,15,"3:27.64","Silas Kiplagat","Kenya","18 July 2014","Monaco","[14]"
NA,17,"3:27.65","El Guerrouj #9","","24 August 1999","Seville",""
7,17,"3:27.65","Cole Hocker","United States","6 August 2024","Saint-Denis","[15]"
NA,19,"3:27.72","Kiprop #2","","19 July 2013","Monaco","[16]"
8,20,"3:27.79","Josh Kerr","Great Britain","6 August 2024","Saint-Denis","[15]"
9,21,"3:27.80","Yared Nuguse","United States","6 August 2024","Saint-Denis","[15]"
NA,22,"3:27.83","Ingebrigtsen #3","","22 August 2024","Lausanne","[17]"
NA,23,"3:27.91","Lagat #3","","19 July 2002","Monaco",""
NA,24,"3:27.95","Ingebrigtsen #4","","15 June 2023","Oslo","[18]"
10,25,"3:28.12","Noah Ngeny","Kenya","11 August 2000","Zürich",""
11,NA,"3:28.28","Timothy Cheruiyot","Kenya","9 July 2021","Monaco","[19]"
12,NA,"3:28.75","Taoufik Makhloufi","Algeria","17 July 2015","Monaco","[20]"
13,NA,"3:28.76","Mohamed Katir","Spain","9 July 2021","Monaco","[19]"
14,NA,"3:28.79","Abdalaati Iguider","Morocco","17 July 2015","Monaco",""
15,NA,"3:28.80","Elijah Manangoi","Kenya","21 July 2017","Monaco","[21]"
15,NA,"3:28.80","Brian Komen","Kenya","12 July 2024","Monaco","[12]"
17,NA,"3:28.81","Mo Farah","Great Britain","19 July 2013","Monaco","[16]"
17,NA,"3:28.81","Ronald Kwemoi","Kenya","18 July 2014","Monaco","[22]"
19,NA,"3:28.95","Fermín Cacho","Spain","13 August 1997","Zürich",""
20,NA,"3:28.98","Mehdi Baala","France","5 September 2003","Brussels",""
21,NA,"3:29.02","Daniel Kipchirchir Komen","Kenya","14 July 2006","Rome",""
22,NA,"3:29.11","Abel Kipsang","Kenya","16 July 2023","Chorzów","[13]"
23,NA,"3:29.14","Rashid Ramzi","Bahrain","14 July 2006","Rome",""
24,NA,"3:29.18","Vénuste Niyongabo","Burundi","22 August 1997","Brussels",""
24,NA,"3:29.18","Mario García","Spain","15 June 2023","Oslo","[23]"
