"Date","Opponent","Sh_Standard","Gls_Standard","xG_Expected","Venue","Result","Shots_Against","Goals_Against","xG_Against","xG_difference","ShotConversionRate","HomeGame","Season","Points","xG_difference_c","ShotConversionRate_c"
"2023-08-13","Chelsea",13,1,1.3,"Away","D",10,1,1.4,-0.0999999999999999,0.0769230769230769,0,0,1,-1.30441176470588,-0.055176384961636
"2023-08-19","Bournemouth",25,3,3,"Home","W",13,1,1.3,1.7,0.12,1,0,3,0.495588235294118,-0.0120994618847129
"2023-08-27","Newcastle Utd",9,2,0.9,"Away","W",23,1,2,-1.1,0.222222222222222,0,0,3,-2.30441176470588,0.0901227603375093
"2023-09-03","Aston Villa",17,2,2.5,"Home","W",9,0,0.7,1.8,0.117647058823529,1,0,3,0.595588235294118,-0.0144524030611835
"2023-09-16","Wolves",16,2,2.5,"Away","W",11,1,0.6,1.9,0.125,0,0,3,0.695588235294118,-0.00709946188471289
"2023-09-24","West Ham",21,3,3,"Home","W",11,1,1.1,1.9,0.142857142857143,1,0,3,0.695588235294118,0.01075768097243
"2023-09-30","Tottenham",12,1,1.3,"Away","L",24,1,2.2,-0.9,0.0833333333333333,0,0,0,-2.10441176470588,-0.0487661285513796
"2023-10-08","Brighton",13,2,2.3,"Away","D",14,2,2.3,0,0.153846153846154,0,0,1,-1.20441176470588,0.021746691961441
"2023-10-21","Everton",25,2,2.2,"Home","W",6,0,0.1,2.1,0.08,1,0,3,0.895588235294118,-0.0520994618847129
"2023-10-29","Nott'ham Forest",21,3,3.2,"Home","W",9,0,0.4,2.8,0.142857142857143,1,0,3,1.59558823529412,0.01075768097243
"2023-11-05","Luton Town",24,1,2.6,"Away","D",8,1,0.8,1.8,0.0416666666666667,0,0,1,0.595588235294118,-0.0904327952180462
"2023-11-12","Brentford",17,3,1.7,"Home","W",16,0,1.6,0.0999999999999999,0.176470588235294,1,0,3,-1.10441176470588,0.0443711263505812
"2023-11-25","Manchester City",8,1,0.6,"Away","D",16,1,1.3,-0.7,0.125,0,0,1,-1.90441176470588,-0.00709946188471289
"2023-12-03","Fulham",26,3,2.1,"Home","W",9,3,1.2,0.9,0.115384615384615,1,0,3,-0.304411764705882,-0.0167148465000975
"2023-12-06","Sheffield Utd",15,2,1.7,"Away","W",6,0,1,0.7,0.133333333333333,0,0,3,-0.504411764705882,0.00123387144862044
"2023-12-09","Crystal Palace",14,2,1.2,"Away","W",7,1,1.7,-0.5,0.142857142857143,0,0,3,-1.70441176470588,0.01075768097243
"2023-12-17","Manchester Utd",34,0,2.3,"Home","D",6,0,0.8,1.5,0,1,0,1,0.295588235294117,-0.132099461884713
"2023-12-23","Arsenal",13,1,1,"Home","D",13,1,0.7,0.3,0.0769230769230769,1,0,1,-0.904411764705882,-0.055176384961636
"2023-12-26","Burnley",19,2,1.8,"Away","W",9,0,0.8,1,0.105263157894737,0,0,3,-0.204411764705882,-0.0268363039899761
"2024-01-01","Newcastle Utd",32,4,7,"Home","W",5,2,0.6,6.4,0.125,1,0,3,5.19558823529412,-0.00709946188471289
"2024-01-21","Bournemouth",14,4,1.5,"Away","W",11,0,1.4,0.1,0.285714285714286,0,0,3,-1.10441176470588,0.153614823829573
"2024-01-31","Chelsea",27,4,2.9,"Home","W",4,1,0.6,2.3,0.148148148148148,1,0,3,1.09558823529412,0.0160486862634353
"2024-02-04","Arsenal",10,0,0.4,"Away","L",15,3,3.5,-3.1,0,0,0,0,-4.30441176470588,-0.132099461884713
"2024-02-10","Burnley",25,3,2.8,"Home","W",9,1,1.3,1.5,0.12,1,0,3,0.295588235294117,-0.0120994618847129
"2024-02-17","Brentford",15,4,2.8,"Away","W",15,1,1.6,1.2,0.266666666666667,0,0,3,-0.00441176470588256,0.134567204781954
"2024-02-21","Luton Town",29,4,3.3,"Home","W",12,1,0.9,2.4,0.137931034482759,1,0,3,1.19558823529412,0.00583157259804573
"2024-03-02","Nott'ham Forest",22,1,2,"Away","W",8,0,1,1,0.0454545454545455,0,0,3,-0.204411764705882,-0.0866449164301674
"2024-03-10","Manchester City",18,1,2.7,"Home","D",10,1,1.6,1.1,0.0555555555555556,1,0,1,-0.104411764705882,-0.0765439063291573
"2024-03-31","Brighton",30,2,2.8,"Home","W",9,1,0.5,2.3,0.0666666666666667,1,0,3,1.09558823529412,-0.0654327952180462
"2024-04-04","Sheffield Utd",29,3,1.8,"Home","W",5,0,0.6,1.2,0.103448275862069,1,0,3,-0.00441176470588212,-0.0286511860226439
"2024-04-07","Manchester Utd",27,2,3.6,"Away","D",9,2,0.7,2.9,0.0740740740740741,0,0,1,1.69558823529412,-0.0580253878106388
"2024-04-14","Crystal Palace",21,0,2.7,"Home","L",8,1,2,0.7,0,1,0,0,-0.504411764705882,-0.132099461884713
"2024-04-21","Fulham",14,3,1,"Away","W",12,1,0.8,0.2,0.214285714285714,0,0,3,-1.00441176470588,0.0821862524010014
"2024-04-24","Everton",23,0,2.1,"Away","L",16,2,1.2,0.9,0,0,0,0,-0.304411764705882,-0.132099461884713
"2024-08-17","Ipswich Town",18,2,2.6,"Away","W",7,0,0.5,2.1,0.111111111111111,0,1,3,0.895588235294118,-0.0209883507736018
"2024-08-25","Brentford",19,2,2.5,"Home","W",8,0,0.5,2,0.105263157894737,1,1,3,0.795588235294118,-0.0268363039899761
"2024-09-01","Manchester Utd",11,3,1.8,"Away","W",8,0,1.4,0.4,0.272727272727273,0,1,3,-0.804411764705882,0.14062781084256
"2024-09-14","Nott'ham Forest",14,0,0.9,"Home","L",5,1,0.4,0.5,0,1,1,0,-0.704411764705882,-0.132099461884713
"2024-09-21","Bournemouth",19,3,2,"Home","W",19,0,1.1,0.9,0.157894736842105,1,1,3,-0.304411764705882,0.0257952749573924
"2024-09-28","Wolves",9,2,2.5,"Away","W",8,1,0.6,1.9,0.222222222222222,0,1,3,0.695588235294118,0.0901227603375093
"2024-10-05","Crystal Palace",16,1,1.4,"Away","W",9,0,0.6,0.8,0.0625,0,1,3,-0.404411764705882,-0.0695994618847129
"2024-10-20","Chelsea",8,2,1.9,"Home","W",12,1,1,0.9,0.25,1,1,3,-0.304411764705882,0.117900538115287
"2024-10-27","Arsenal",9,2,0.8,"Away","D",9,2,0.9,-0.1,0.222222222222222,0,1,1,-1.30441176470588,0.0901227603375093
"2024-11-02","Brighton",16,2,1.6,"Home","W",13,1,1,0.6,0.125,1,1,3,-0.604411764705882,-0.00709946188471289
"2024-11-09","Aston Villa",14,2,2,"Home","W",12,0,1.2,0.8,0.142857142857143,1,1,3,-0.404411764705882,0.01075768097243
"2024-11-24","Southampton",26,3,3.1,"Away","W",6,2,1.3,1.8,0.115384615384615,0,1,3,0.595588235294118,-0.0167148465000975
"2024-12-01","Manchester City",17,2,3.4,"Home","W",8,0,0.8,2.6,0.117647058823529,1,1,3,1.39558823529412,-0.0144524030611835
"2024-12-04","Newcastle Utd",16,3,1.9,"Away","D",17,3,2.1,-0.2,0.1875,0,1,1,-1.40441176470588,0.0554005381152871
"2024-12-14","Fulham",16,2,2.1,"Home","D",12,2,1.2,0.9,0.125,1,1,1,-0.304411764705882,-0.00709946188471289
"2024-12-22","Tottenham",24,6,5.6,"Away","W",9,3,1.3,4.3,0.25,0,1,3,3.09558823529412,0.117900538115287
"2024-12-26","Leicester City",19,3,2,"Home","W",4,1,0.3,1.7,0.157894736842105,1,1,3,0.495588235294118,0.0257952749573924
"2024-12-29","West Ham",22,5,3.1,"Away","W",7,0,0.4,2.7,0.227272727272727,0,1,3,1.49558823529412,0.0951732653880144
"2025-01-05","Manchester Utd",18,2,2.7,"Home","D",13,2,1,1.7,0.111111111111111,1,1,1,0.495588235294118,-0.0209883507736018
"2025-01-14","Nott'ham Forest",23,1,2,"Away","D",6,1,0.3,1.7,0.0434782608695652,0,1,1,0.495588235294118,-0.0886212010151477
"2025-01-18","Brentford",37,2,3.4,"Away","W",11,0,0.7,2.7,0.0540540540540541,0,1,3,1.49558823529412,-0.0780454078306588
