"date","series_id","value","realtime_start","realtime_end"
2020-01-01,"SP500",NA,2025-03-05,2025-03-05
2020-01-02,"SP500",3257.85,2025-03-05,2025-03-05
2020-01-03,"SP500",3234.85,2025-03-05,2025-03-05
2020-01-06,"SP500",3246.28,2025-03-05,2025-03-05
2020-01-07,"SP500",3237.18,2025-03-05,2025-03-05
2020-01-08,"SP500",3253.05,2025-03-05,2025-03-05
2020-01-09,"SP500",3274.7,2025-03-05,2025-03-05
2020-01-10,"SP500",3265.35,2025-03-05,2025-03-05
2020-01-13,"SP500",3288.13,2025-03-05,2025-03-05
2020-01-14,"SP500",3283.15,2025-03-05,2025-03-05
2020-01-15,"SP500",3289.29,2025-03-05,2025-03-05
2020-01-16,"SP500",3316.81,2025-03-05,2025-03-05
2020-01-17,"SP500",3329.62,2025-03-05,2025-03-05
2020-01-20,"SP500",NA,2025-03-05,2025-03-05
2020-01-21,"SP500",3320.79,2025-03-05,2025-03-05
2020-01-22,"SP500",3321.75,2025-03-05,2025-03-05
2020-01-23,"SP500",3325.54,2025-03-05,2025-03-05
2020-01-24,"SP500",3295.47,2025-03-05,2025-03-05
2020-01-27,"SP500",3243.63,2025-03-05,2025-03-05
2020-01-28,"SP500",3276.24,2025-03-05,2025-03-05
2020-01-29,"SP500",3273.4,2025-03-05,2025-03-05
2020-01-30,"SP500",3283.66,2025-03-05,2025-03-05
2020-01-31,"SP500",3225.52,2025-03-05,2025-03-05
2020-02-03,"SP500",3248.92,2025-03-05,2025-03-05
2020-02-04,"SP500",3297.59,2025-03-05,2025-03-05
2020-02-05,"SP500",3334.69,2025-03-05,2025-03-05
2020-02-06,"SP500",3345.78,2025-03-05,2025-03-05
2020-02-07,"SP500",3327.71,2025-03-05,2025-03-05
2020-02-10,"SP500",3352.09,2025-03-05,2025-03-05
2020-02-11,"SP500",3357.75,2025-03-05,2025-03-05
2020-02-12,"SP500",3379.45,2025-03-05,2025-03-05
2020-02-13,"SP500",3373.94,2025-03-05,2025-03-05
2020-02-14,"SP500",3380.16,2025-03-05,2025-03-05
2020-02-17,"SP500",NA,2025-03-05,2025-03-05
2020-02-18,"SP500",3370.29,2025-03-05,2025-03-05
2020-02-19,"SP500",3386.15,2025-03-05,2025-03-05
2020-02-20,"SP500",3373.23,2025-03-05,2025-03-05
2020-02-21,"SP500",3337.75,2025-03-05,2025-03-05
2020-02-24,"SP500",3225.89,2025-03-05,2025-03-05
2020-02-25,"SP500",3128.21,2025-03-05,2025-03-05
2020-02-26,"SP500",3116.39,2025-03-05,2025-03-05
2020-02-27,"SP500",2978.76,2025-03-05,2025-03-05
2020-02-28,"SP500",2954.22,2025-03-05,2025-03-05
2020-03-02,"SP500",3090.23,2025-03-05,2025-03-05
2020-03-03,"SP500",3003.37,2025-03-05,2025-03-05
2020-03-04,"SP500",3130.12,2025-03-05,2025-03-05
2020-03-05,"SP500",3023.94,2025-03-05,2025-03-05
2020-03-06,"SP500",2972.37,2025-03-05,2025-03-05
2020-03-09,"SP500",2746.56,2025-03-05,2025-03-05
2020-03-10,"SP500",2882.23,2025-03-05,2025-03-05
2020-03-11,"SP500",2741.38,2025-03-05,2025-03-05
2020-03-12,"SP500",2480.64,2025-03-05,2025-03-05
2020-03-13,"SP500",2711.02,2025-03-05,2025-03-05
2020-03-16,"SP500",2386.13,2025-03-05,2025-03-05
2020-03-17,"SP500",2529.19,2025-03-05,2025-03-05
2020-03-18,"SP500",2398.1,2025-03-05,2025-03-05
2020-03-19,"SP500",2409.39,2025-03-05,2025-03-05
2020-03-20,"SP500",2304.92,2025-03-05,2025-03-05
2020-03-23,"SP500",2237.4,2025-03-05,2025-03-05
2020-03-24,"SP500",2447.33,2025-03-05,2025-03-05
2020-03-25,"SP500",2475.56,2025-03-05,2025-03-05
2020-03-26,"SP500",2630.07,2025-03-05,2025-03-05
2020-03-27,"SP500",2541.47,2025-03-05,2025-03-05
2020-03-30,"SP500",2626.65,2025-03-05,2025-03-05
2020-03-31,"SP500",2584.59,2025-03-05,2025-03-05
2020-04-01,"SP500",2470.5,2025-03-05,2025-03-05
